,Player,Short Name,Player ID,Birthdate,Team,Competition,Season,Season ID,Position Group,Minutes,PSV-99,TOP 5 PSV-99,Total Distance P90,M/min P90,Running Distance P90,HSR Distance P90,HSR Count P90,Sprinting Distance P90,Sprint Count P90,HI Distance P90,HI Count P90,Medium Acceleration Count P90,High Acceleration Count P90,Medium Deceleration Count P90,High Deceleration Count P90,Explosive Acceleration to HSR Count P90,Explosive Acceleration to Sprint Count P90,Note xPhysical,Note xPhy TOP 5 PSV-99,Note xPhy HI Distance P90,Note xPhy Total Distance P90,Note xPhy HSR Distance P90,Note xPhy Sprinting Distance P90,Note xPhy Sprint Count P90,Note xPhy High Acceleration Count P90,Note xPhy_max,xPhysical,Age
0,Aaron Cresswell,A. Cresswell,82,1989-12-15,West Ham United,ENG - Premier League,2024/2025,95,Central Defender,93.05,27.9,27.9,9372.38,104.14,1058.72,323.05,29.4,99.43,4.64,422.48,34.05,102.14,5.03,82.02,11.03,2.71,0.58,9,0,1,3,1,1,0,3,51,18.0,36.0
1,Aaron Meijers,A. Meijers,90,1987-10-28,RKC Waalwijk,NED - Eredivisie,2023/2024,28,Full Back,94.71,28.62,30.16,10069.57,111.88,1449.31,574.07,49.45,170.58,8.95,744.65,58.41,104.75,5.81,88.49,16.7,3.55,1.21,9,4,1,3,1,0,0,0,53,17.0,38.0
2,Aaron Meijers,A. Meijers,90,1987-10-28,RKC Waalwijk,NED - Eredivisie,2024/2025,95,Full Back,81.09,29.27,29.54,10384.56,115.38,1468.84,590.24,55.12,237.13,11.65,827.37,66.77,108.39,4.99,90.45,17.2,3.33,1.29,18,0,2,7,3,3,3,0,53,34.0,38.0
3,Abdellah Zoubir,A. Zoubir,105,1991-12-05,Qarabağ FK,UEFA - Europa League,2023/2024,28,Wide Attacker,97.89,28.48,29.26,11036.27,122.63,1731.43,783.08,72.13,247.38,14.85,1030.45,86.98,115.56,6.36,96.39,17.54,4.88,1.27,28,0,3,7,7,3,5,3,56,50.0,34.0
4,Abdellah Zoubir,A. Zoubir,105,1991-12-05,Qarabağ FK,UEFA - Europa League,2024/2025,95,Wide Attacker,89.62,27.93,28.06,11149.8,123.89,1833.7,833.67,72.97,219.25,13.22,1052.92,86.2,115.15,6.03,95.57,17.41,4.35,0.84,22,0,4,7,7,1,3,0,56,39.0,34.0
5,Abdoulaye Bamba,A. Bamba,120,1990-04-25,Angers SCO,FRA - Ligue 1,2024/2025,95,Central Defender,96.02,27.96,30.08,8758.33,97.31,902.15,261.21,27.18,59.58,4.22,320.79,31.4,100.53,4.04,80.67,12.13,2.17,0.7,3,3,0,0,0,0,0,0,51,6.0,35.0
6,Abdoulaye Doucouré,A. Doucouré,124,1993-01-01,Everton,ENG - Premier League,2023/2024,28,Center Forward,95.46,29.28,29.52,10905.59,121.17,1849.08,1007.34,94.28,386.53,21.53,1393.88,115.8,126.33,11.78,103.86,28.6,8.8,3.14,36,0,4,7,7,7,7,4,50,72.0,32.0
7,Abdoulaye Doucouré,A. Doucouré,124,1993-01-01,Everton,ENG - Premier League,2023/2024,28,Midfield,92.03,28.44,29.9,10918.84,121.32,2023.17,943.89,81.84,269.21,14.47,1213.1,96.31,127.33,8.33,106.44,24.29,5.55,1.84,41,10,4,5,7,4,4,7,46,89.0,32.0
8,Abdoulaye Doucouré,A. Doucouré,124,1993-01-01,Everton,ENG - Premier League,2024/2025,95,Midfield,90.58,28.65,29.74,11053.71,122.82,2074.35,961.41,81.02,279.27,15.82,1240.69,96.84,132.03,6.57,111.86,22.51,4.47,1.3,40,7,4,7,7,4,4,7,46,87.0,32.0
9,Abdoulaye Touré,A. Touré,128,1994-03-03,Le Havre AC,FRA - Ligue 1,2023/2024,28,Midfield,92.56,27.62,29.12,10947.79,121.64,1934.45,604.43,53.24,132.16,7.58,736.59,60.83,121.97,3.97,101.28,17.54,2.64,0.39,28,7,2,7,5,2,2,3,46,61.0,31.0
10,Abdoulaye Touré,A. Touré,128,1994-03-03,Le Havre AC,FRA - Ligue 1,2024/2025,95,Midfield,94.6,27.99,29.64,10337.56,114.86,1862.35,547.86,49.93,145.19,7.32,693.04,57.25,119.62,4.51,97.2,17.58,2.69,0.62,25,7,2,3,3,3,2,5,46,54.0,31.0
11,Abdul Rahman Baba,A. Baba,134,1994-07-02,PAOK Salonika,UEFA - Europa League,2024/2025,95,Full Back,96.47,29.34,30.48,9410.42,104.56,1309.19,545.91,51.99,188.7,10.26,734.61,62.25,106.18,6.36,87.35,18.06,5.26,1.53,9,4,1,0,1,1,1,1,53,17.0,31.0
12,Adam Armstrong,A. Armstrong,168,1997-02-10,West Bromwich Albion,ENG - Championship,2024/2025,95,Center Forward,82.53,30.59,31.62,9258.79,102.88,1181.21,525.0,58.56,259.01,13.74,784.02,72.31,100.33,8.18,85.83,16.79,6.76,2.73,27,10,2,0,1,7,5,2,50,54.0,28.0
